opeid,school,total,min_aid
00371500,Hollins University,799714,399857
03642300,Institute Of Technology,799110,399555
04134800,Aveda Institute - Tallahassee,798287,399144
00158700,Paine College,798094,399047
00315100,Oklahoma Wesleyan University,797766,398883
04142600,Touro University,797347,398674
02087000,Ozarka College,797075,398538
00193300,Mcpherson College,795375,397688
02170700,Brunswick Community College,795340,397670
01326300,South Hills School Of Business & Technology,795265,397633
00396500,Bay State College,794883,397442
00179900,Goshen College,792911,396456
03011600,Fortis Institute,791394,395697
00329400,Manor College,790389,395195
00374700,University Of Virginia'S College At Wise (The),788966,394483
00228800,Rochester University,787257,393629
02577900,Santa Barbara Business College,786894,393447
00118700,College Of The Siskiyous,785260,392630
00239800,Blue Mountain College,784621,392311
00766900,Southwest Wisconsin Technical College,783630,391815
00345400,University Of South Carolina - Salkehatchie,783241,391621
03650600,Pc Age,782767,391384
04156400,Aviation Institute Of Maintenance,782346,391173
00291200,Brevard College,782339,391170
00257200,Colby-Sawyer College,779605,389803
00235500,Hibbing Community College,779596,389798
03842500,Cambridge Institute Of Allied Health And Technology,779045,389523
00986300,Pennsylvania College Of Health Sciences,778640,389320
00224000,Bay De Noc Community College,778116,389058
00297900,Warren Wilson College,776538,388269
04149100,Paul Mitchell The School Cincinnati,776215,388108
00476500,Cuny Graduate School & University Center,776134,388067
03108500,Everglades University,776027,388014
02220900,Cossatot Community College Of The University Of Arkansas,775262,387631
00808100,Carteret Community College,774946,387473
00255700,Mid-Plains Community College,774946,387473
04128400,Miami Regional University,774452,387226
02149900,Paul Mitchell The School-Jacksonville,773577,386789
00994100,Belmont College,773450,386725
00346300,Dakota State University,771997,385999
00335100,Cairn University,771522,385761
01009800,Neumont College Of Computer Science,769673,384837
00291100,Bennett College,768798,384399
00301600,Bluffton University,768698,384349
00185200,Clarke University,768683,384342
00252300,Westminster College,768643,384322
03781400,Industrial Technical College,768357,384179
03025900,"Liceo De Arte, Diseños Y Comercio",767805,383903
00383100,Wheeling University,766653,383327
00271000,Cooper Union For The Advancement Of Science & Art (The),766505,383253
00678700,Clinton Community College - Suny Office Of Community Colleges,765962,382981
00380300,Whitman College,764766,382383
00190900,Cloud County Community College,763297,381649
00205200,Thomas College,762266,381133
00241400,Millsaps College,761840,380920
00526000,J. F.  Drake State Community And Technical College,761763,380882
00214500,Eastern Nazarene College,761413,380707
00764900,Rocky Mountain College Of Art + Design,761314,380657
02285900,Ucas University Of Cosmetology Arts & Sciences,760609,380305
00223700,Alpena Community College,759853,379927
02559000,University Of Advancing Computer Technology,759682,379841
01100900,Palau Community College,759490,379745
00908900,Hannibal - Lagrange University,759488,379744
01226300,Atlantic Technical College,758163,379082
00256300,Union College,757995,378998
03078000,Miami Media School,757634,378817
02155300,Chicago School Of Professional Psychology,756112,378056
00195100,Alice Lloyd College,754640,377320
04148300,Denver College Of Nursing,753229,376615
00485300,Bradford School,752083,376042
00861400,Rabbinical College Bobover Yeshiva Bnei Zion,751000,375500
04152800,Paul Mitchell The School Sacramento,750351,375176
03125800,Premiere Career College,747470,373735
00711300,Arizona Christian University,747009,373505
00192400,Independence Community College,746807,373404
03129100,Fond Du Lac Tribal & Community College,744831,372416
00123600,Menlo College,744390,372195
00477600,Central Yeshiva Tomchei Tmimim Lubavitz,743134,371567
00351100,Milligan College,742753,371377
00235600,Itasca Community College,741976,370988
02607100,Paul Mitchell The School Boise,740779,370390
04208600,Relay Graduate School Of Education,740441,370221
00174200,Illinois Eastern Community Colleges - Olney Central College,737002,368501
02554800,Vanguard College Of Cosmetology A Paul Mitchell Partner School-Metaire,736592,368296
00622800,Methodist College,736004,368002
00294800,Montreat College,735993,367997
00822800,Seward County Community College,734560,367280
00393100,Northwest College,732668,366334
00905400,West Virginia Northern Community College,732317,366159
01119400,Stanly Community College,731366,365683
02092500,Laurel Technical Institute,727647,363824
04167000,Paul Mitchell The School Temecula,725475,362738
00393300,Western Wyoming Community College,725242,362621
04193000,Rio Grande Valley College,722800,361400
03106200,Franciscan Missionaries Of Our Lady University,721431,360716
00484500,Wilson Community College,718656,359328
00694200,Mid-America Christian University,716752,358376
00186200,Ellsworth Community College,715943,357972
00150800,North Florida College,715483,357742
02156600,Davis Technical College,713275,356638
04222000,Arclabs,712771,356386
00717100,Kirtland Community College,712739,356370
04130900,Tricoci University Of Beauty Culture,711717,355859
02279600,Cortiva Institute,709623,354812
00202300,University Of Holy Cross,708685,354343
00252400,William Jewell College,707592,353796
00342600,University Of South Carolina - Sumter,705800,352900
02270800,Ameritech College,705243,352622
02237800,Specs Howard School Of Media Arts,702843,351422
00117700,Cogswell Polytechnical College,701472,350736
00187100,Iowa Wesleyan University,699320,349660
03428300,Klamath Community College,699314,349657
04182600,Hci College,698258,349129
03115200,Motoring Technical Training Institute,698220,349110
03110700,Aviation Institute Of Maintenance,698192,349096
00276300,Maria College,697463,348732
00855800,Beaufort County Community College,695419,347710
00865500,Genesis Career College,692917,346459
03319300,Creative Images Institute Of Cosmetology,692021,346011
00370300,Bluefield College,691152,345576
02170000,Swedish Institute,691142,345571
04182200,Hawaii Medical College,690676,345338
00314100,Wilberforce University,689372,344686
03960300,New River Community And Technical College,688982,344491
00976800,University Of North Texas Health Science Center At Fort Worth,687698,343849
02503900,Warren County Community College,686371,343186
02569400,Escuela De Artes Plasticas Y Diseño De Puerto Rico,686208,343104
02333000,Hair Academy,685979,342990
00757000,Helena College University Of Montana,685627,342814
00980000,Rush University,683762,341881
00273500,Hilbert College,683112,341556
02570400,Educational Technical College (Edutec),682212,341106
03723300,Culinary Institute Lenotre,682153,341077
00125200,Hope International University,681856,340928
00108800,Lyon College,680216,340108
00371300,Hampden Sydney College,679908,339954
01111700,Alliant International University,679282,339641
00250400,St. Louis College Of Pharmacy,678296,339148
00171700,Macmurray College,677656,338828
00342900,Columbia International University,676941,338471
04016500,American Institute Of Beauty,676204,338102
04119400,Aveda Institute - South Florida,676153,338077
04221300,Philadelphia Technician Training Institute,675783,337892
02112200,Great Lakes Institute Of Technology,675003,337502
00759300,Parisian Beauty Academy Paul Mitchell Partner School,673639,336820
00313400,Ursuline College,673311,336656
01174500,Ohio Technical College,671034,335517
00638900,Goldfarb School Of Nursing At Barnes-Jewish College,669542,334771
00997600,College Of The Ouachitas,669324,334662
00251200,Stephens College,668976,334488
00944900,Pennco Tech,667974,333987
00239300,Minnesota State College Southeast,666447,333224
00373400,Randolph College,664874,332437
03114700,Praxis Institute,663998,331999
00331700,Cheyney University Of Pennsylvania,663615,331808
00194500,Sterling College,662915,331458
00304100,Defiance College,662680,331340
02330500,Laguna College Of Art And Design,661479,330740
00632400,Laboure College,661421,330711
00768700,James Sprunt Community College,661318,330659
00226400,Gogebic Community College,661272,330636
03652300,Metropolitan Learning Institute,660220,330110
00346600,Northern State University,659777,329889
00283900,State University Of New York Downstate Medical Center,658028,329014
02117500,Naropa University,656811,328406
00576000,Northern Maine Community College,655429,327715
00336000,Rosemont College,653142,326571
00205100,Saint Joseph'S College,649094,324547
02556800,Paul Mitchell The School Salt Lake City,647756,323878
00560800,Traviss Technical College,644793,322397
02556700,Seminar L'Moros Bais Yaakov,644413,322207
02576100,Escuela Técnica De Electricidad,644003,322002
01186200,Northland Pioneer College,643137,321569
00346100,Dakota Wesleyan University,641844,320922
00298900,Dickinson State University,640093,320047
02168600,East-West University,638436,319218
00183500,Saint Mary Of The Woods College,637917,318959
00769300,Shawnee Community College,637619,318810
00187500,Marshalltown Community College,636628,318314
00387500,Northland College,636542,318271
00314600,Western Oklahoma State College,635791,317896
02063500,Coastline Community College,634209,317105
02104900,Sumner College,632989,316495
01231500,Cornish College Of The Arts,632813,316407
04146700,Aviation Institute Of Maintenance,631206,315603
03490300,Paul Mitchell The School Chicago,626698,313349
04168700,Peloton College,626237,313119
00204100,University Of Maine - Fort Kent,626037,313019
00117200,Pitzer College,625861,312931
00613600,National Aviation Academy - New England,625133,312567
03079800,George T. Baker Aviation Technical College,624978,312489
00167800,Eureka College,624909,312455
00888700,Concorde Career College,623986,311993
04206300,Florida Vocational Institute,623164,311582
00290100,Wells College,623035,311518
02275100,Concorde Career Institute,621612,310806
02115300,Pinellas Technical College - St. Petersburg Campus,621026,310513
01209200,Kenneth Shuler School Of Cosmetology,620853,310427
00164300,Spoon River College,617648,308824
04235000,Felbry College-School Of Nursing,617396,308698
00139300,Mitchell College,616528,308264
00798600,Halifax Community College,616040,308020
00808300,Haywood Community College,614386,307193
03052300,Kenneth Shuler School Of Cosmetology & Hair Design,611571,305786
00330900,Peirce College,611389,305695
00203300,University Of Maine - Presque Isle,610998,305499
02104000,Harris School Of Business,609828,304914
03413300,Mountainland Technical College,609482,304741
04127300,Columbia College,609412,304706
00200300,Centenary College Of Louisiana,608956,304478
03130500,Urban College Of Boston,608706,304353
00315600,Redlands Community College,608459,304230
02103500,Tennessee College Of Applied Technology - Murfreesboro,607231,303616
02578200,Nossi College Of Art,606694,303347
02270600,Life Pacific University,606084,303042
03555300,Southeastern Institute,605946,302973
03071900,Mount Carmel College Of Nursing,605611,302806
03003600,William T Mcfatter Technical College,603976,301988
04206400,Helms College,602995,301498
00902200,Associated Technical College,602768,301384
01001900,University Of Texas Southwestern Medical Center (The),602606,301303
00139800,Northwestern Connecticut Community College,602265,301133
04167100,Aveda Institute Denver,602184,301092
00996500,Canadian Valley Technology Center School District No. 6,601347,300674
00165900,Rosalind Franklin University Of Medicine And Science,600592,300296
03224300,New Professions Technical Institute,600447,300224
03089100,Georgia Institute Of Cosmetology,599634,299817
04137800,Aveda Institute Columbus,599625,299813
00859700,Feather River College,599153,299577
03537300,New York Automotive & Diesel Institute,598781,299391
04194500,Aveda Institute Tucson,598691,299346
04195400,Unitek College,598178,299089
00267000,Clarks Summit University,596633,298317
03777300,Paul Mitchell The School Gastonia,595930,297965
00730500,Porter And Chester Institute Of Hamden,595156,297578
04102300,New Age Training,594376,297188
00368200,Bennington College,592763,296382
00117600,West Hills Community College,592666,296333
04141400,Laurus College,591076,295538
03127900,Osceola Technical College,590003,295002
03709300,Edward Via Virginia College Of Osteopathic Medicine,589803,294902
04146000,National Career College,589577,294789
00932200,Williamsburg Technical College,589306,294653
01119700,Mayland Community College,588968,294484
00135500,Lamar Community College,588420,294210
03776300,Auguste Escoffier School Of Culinary Arts,588381,294191
02074000,Branford Hall Career Institute,588348,294174
00160000,Wesleyan College,587801,293901
00185700,Southwestern Community College,587388,293694
00343200,Erskine College,587364,293682
04203800,Woodruff Medical Training And Testing,583499,291750
02183000,Orleans Technical College,582950,291475
00380800,Bethany College,582649,291325
02150600,Cosmetology And Spa Academy,582054,291027
04003300,Blake Austin College,581595,290798
00353600,Bryan College,579257,289629
00728900,Central Wyoming College,578937,289469
00849500,Jamestown Business College,577492,288746
01258900,Erie 1 Board Of Cooperative Educational Services,577270,288635
00226300,Glen Oaks Community College,576681,288341
03440400,Marian Health Careers Center,575634,287817
00490200,Penn Commercial Business/Technical School,575574,287787
00528300,Tennessee College Of Applied Technology - Newbern,571359,285680
00345300,University Of South Carolina - Lancaster,570863,285432
00289200,United States Merchant Marine Academy,569967,284984
00964600,Piedmont Community College,569586,284793
03124200,Nova College Of Puerto Rico,568986,284493
02228300,Lake Technical College,568563,284282
03109000,School Of Communication Arts Of North Carolina,568133,284067
00648900,Christ College Of Nursing And Health Sciences,567902,283951
01286000,Arkansas Northeastern College,566883,283442
00795000,West Shore Community College,564751,282376
04115600,Mayfield College,564629,282315
03666300,Pillar College,562480,281240
00183400,Calumet College Of Saint Joseph,562456,281228
03027700,Pacific College Of Oriental Medicine,561804,280902
02172700,Concorde Career Institute,561628,280814
02189300,Emma'S Beauty Academy,561434,280717
00400900,Mesabi Range College,561010,280505
02114200,Johnson College,559569,279785
04178400,Vogue College Of Cosmetology,558728,279364
03627600,Florida Education Institute,558247,279124
00640400,Nebraska Methodist College Of Nursing & Allied Health,557892,278946
03010400,Crescent City School Of Gaming & Bartending,557634,278817
00856800,Vet Tech Institute,556560,278280
03122900,York County Community College,556529,278265
00954900,Western Texas College,556115,278058
02586900,Harris School Of Business,554114,277057
00919200,Sierra Nevada College,553670,276835
04162800,Paul Mitchell The School Modesto,553609,276805
03043900,Newschool Of Architecture And Design,553090,276545
02185800,Moler Barber College,551182,275591
01122000,Windward Community College,551098,275549
04165900,Paul Mitchell The School Fresno,550245,275123
03098700,Milan Institute,549033,274517
01148100,Divers Institute Of Technology,548712,274356
01081900,Conservatorio De Música De Puerto Rico,548486,274243
00537900,Tennessee College Of Applied Technology-Shelbyville,547306,273653
01186600,Lu Ross Academy,547287,273644
00117400,Scripps College,546083,273042
03965400,Myrangel Beauty Institute,546026,273013
02255400,Toni&Guy Hairdressing Academy,545266,272633
00760200,Northeastern Technical College,544363,272182
01309500,Salon Success Academy,543888,271944
03011500,Fortis Institute,542910,271455
02111100,University Of Arkansas Community College Rich Mountain,542149,271075
00177900,Illinois Eastern Community Colleges - Wabash Valley College,541848,270924
03103900,Marion Technical College,541724,270862
03346300,Academy For Nursing And Health Occupations,541389,270695
03816300,Artistic Nails & Beauty Academy,541307,270654
01082600,Tom P. Haney Technical Center,539960,269980
00247700,A. T. Still University Of Health Sciences,539820,269910
03025800,Dawn Career Institute,539645,269823
02337200,Pj'S College Of Cosmetology,539531,269766
00729700,Spartan College Of Aeronautics And Technology,539465,269733
03356300,Medical Training College,539363,269682
00705000,Bellus Academy,539166,269583
00725300,Federico Beauty Institute,538895,269448
04129800,Mediatech Institute,538457,269229
02501500,Orange Technical College - Mid Florida Campus,538345,269173
01201100,Talmudical Seminary Oholei Torah,538150,269075
04179100,Verve College,537056,268528
02599400,New York College Of Health Professions,537043,268522
00161400,Kauai Community College,535684,267842
00318000,Southwestern Christian University,534184,267092
00746500,American Academy Of Dramatic Arts,533811,266906
00660600,Baptist Health System School Of Health Professions,531618,265809
00190500,Bethel College,531372,265686
00196500,Kentucky Christian University,531102,265551
00236100,Martin Luther College,531043,265522
02129000,Triangle Tech,530918,265459
03126300,Aviation Institute Of Maintenance,530011,265006
04151800,Temple (The): A Paul Mitchell Partner School,528840,264420
00110600,Williams Baptist University,528721,264361
00808500,Mcdowell Technical Community College,527975,263988
00560500,Pinellas Technical College - Clearwater Campus,527113,263557
00194600,Tabor College,525581,262791
00703500,Kettering College,525294,262647
04037500,Academy Of Hair Design,524704,262352
00274200,Juilliard School (The),524199,262100
00943000,Tri-County Community College,522349,261175
00284000,State University Of New York Upstate Medical University,519926,259963
02203900,Erie Institute Of Technology,519694,259847
00220100,Pine Manor College,518912,259456
01099800,Pennsylvania Institute Of Technology,518726,259363
00193800,Pratt Community College,518364,259182
02511700,Ridge Technical College,516450,258225
00117100,Harvey Mudd College,516332,258166
04221000,"Standard Healthcare Services, College Of Nursing",516309,258155
00102600,Marion Military Institute,514237,257119
00915900,Paul D. Camp Community College,512617,256309
04240200,Aviation Institute Of Maintenance,512166,256083
00535400,Tennessee College Of Applied Technology-Jackson,510365,255183
00996800,Gordon Cooper Technology Center,509679,254840
00314700,Bacone College,509457,254729
02310800,Lancaster County Career And Technology Center,508099,254050
00755800,Fort Myers Technical College,507574,253787
01167300,Maine College Of Art,507454,253727
03400300,Quest College,506799,253400
01185900,Word Of Life Bible Institute,506756,253378
00500700,West Virginia Junior College,506663,253332
00673100,Casa Loma College,506509,253255
03812300,Omnitech Institute,506117,253059
03242300,Career Networks Institute,505137,252569
01001400,Garrett College,504992,252496
02238500,Central Oklahoma College,504384,252192
00195800,Brescia University,504094,252047
00331100,Salus University,503656,251828
02104400,Spa Tech Institute,502984,251492
02144800,Vet Tech Institute Of Houston,502030,251015
04139000,Midwestern Career College,501791,250896
01048900,American National University,501696,250848
00558600,Lindsey Hopkins Technical College,501691,250846
02242500,Bastyr University,501592,250796
02231600,Mgh Institute Of Health Professions,500795,250398
00402600,Tennessee College Of Applied Technology - Crossville,499909,249955
02206200,Beauty Institute (The),497279,248640
00189500,Waldorf University,497220,248610
04154900,National Career Institute,497128,248564
00215000,Fisher College,496691,248346
04121000,Mycomputercareer.Com /Techskills,495594,247797
04180000,Cinta Aveda Institute,493584,246792
01323400,Lorenzo Walker Technical College,492820,246410
00178400,Ancilla Domini College,492118,246059
02068200,Cox College,492010,246005
04234900,Amg School Of License Practical Nursing,491430,245715
00238300,Crown College,491090,245545
00903200,Empire College,490975,245488
00526500,North Central Kansas Technical College,490545,245273
00194000,Southwestern College,490411,245206
03706300,Hollywood Institute,490367,245184
00545200,Teterboro School Of Aeronautics,490330,245165
00346500,Mount Marty College,489509,244755
02202700,Ozark Christian College,489464,244732
00159700,Truett Mcconnell University,489215,244608
00283200,Saint Thomas Aquinas College,489023,244512
02326800,Meridian College,488558,244279
00529100,White Mountains Community College,488503,244252
00356800,Frank Phillips College,488436,244218
01099300,Hobart Institute Of Welding Technology,485886,242943
00226500,Grace Christian University,485111,242556
02174400,Triangle Tech,484941,242471
04147000,Paul Mitchell The School Atlanta,484422,242211
00639900,Bryan College Of Health Sciences,484417,242209
00538400,Nicolet Area Technical College,484116,242058
03025000,Texas College Of Cosmetology,483500,241750
00849400,Hohokus School Of Trade And Technical Sciences,483327,241664
00148500,College Of The Florida Keys (The),481856,240928
00553500,Pine Technical And Community College,481263,240632
00159600,Toccoa Falls College,481239,240620
00535300,Tennessee College Of Applied Technology-Livingston,479769,239885
03127500,Advanced Technology Institute,479439,239720
00526700,Northwest Kansas Technical College,479285,239643
02326900,Sunstate Academy,478081,239041
01285000,International Salon And Spa Academy,475449,237725
03555400,Southeastern Institute,473641,236821
00233700,Bethany Lutheran College,471985,235993
03965500,Hair Expressions Academy,470791,235396
01267000,Bel - Rea Institute Of Animal Technology,470581,235291
01057300,West Virginia Junior College,470415,235208
00697700,Great Basin College,470059,235030
00726300,Holy Cross College,469591,234796
00191100,Colby Community College,469448,234724
03549300,Ultimate Medical Academy,469150,234575
00248500,Midwestern Baptist Theological Seminary,466997,233499
00533900,Metro Technology Centers School District #22,466807,233404
00182400,Oakland City University,465821,232911
04187800,Cybertex Institute Of Technology,465548,232774
00190800,Central Christian College Of Kansas,464984,232492
00120500,Golden Gate University,464148,232074
00978200,Saint Luke'S College Of Health Sciences,462823,231412
04186300,Paul Mitchell The School Las Vegas,462659,231330
04171400,Aveda Institute Portland,461109,230555
00175700,Southeastern Illinois College,460547,230274
03129200,Rabbinical College Of Ohr Shimon Yisroel,460264,230132
00726400,Mesivta Torah Vodaath Rabbinical Seminary,459637,229819
00256700,York College,459315,229658
04147600,Aveda Institute Las Vegas,458983,229492
00531000,Pittsburgh Institute Of Aeronautics,458946,229473
03736300,Advance Beauty College,458495,229248
00492700,University Of South Carolina - Union,457913,228957
01055100,New York School For Medical & Dental Assistants,457757,228879
02052700,Northeast Technology Center,456375,228188
00320700,Pacific Northwest College Of Art,456256,228128
02160900,Pci Academy,454747,227374
00346700,Presentation College,454681,227341
00235000,Vermilion Community College,454539,227270
00300800,Valley City State University,452941,226471
04192200,Athena Career Academy,451504,225752
00155700,Brewton Parker College,449184,224592
03002500,J.F. Ingram State Technical College,448264,224132
03065000,Paul Mitchell The School Richland,447875,223938
00232200,Finlandia University,447690,223845
02602300,Central Coast College,447424,223712
02361500,Michigan Barber School,447200,223600
02524200,Robert Morgan Educational Center And Technical College,447181,223591
02307400,George Stone Technical College,446933,223467
04158200,Paul Mitchell The School Sherman Oaks,446039,223020
01015300,Helene Fuld College Of Nursing,445514,222757
02192800,Walnut Hill College,445337,222669
00148200,Florida College,445256,222628
02123200,Aveda Institute Minneapolis,445074,222537
00318900,Clatsop Community College,444841,222421
00499600,Dabney S Lancaster Community College,444563,222282
00192000,Hesston College,444466,222233
02360800,Provo College,443357,221679
03108600,Compu-Med Vocational Careers,442546,221273
00986200,Clarkson College,441901,220951
00330000,Moore College Of Art And Design,441674,220837
00275900,Manhattan School Of Music,441481,220741
02287800,National Tractor Trailer School,439995,219998
00755500,Lakes Region Community College,439512,219756
02287900,Raphael'S School Of Beauty Culture,438150,219075
02073700,Northwest Technical Institute,437217,218609
04147200,Tricoci University Of Beauty Culture,436904,218452
02178900,Jolie Health And Beauty Academy,435974,217987
00265000,University Of The Southwest,435854,217927
04147500,Tricoci University Of Beauty Culture,435780,217890
00569200,Reid State Technical College,435328,217664
03758300,Bayamon Community College,435133,217567
00720300,Salon Success Academy,434633,217317
02556100,Eti School Of Skilled Trades,434609,217305
00978600,Illinois Eastern Community Colleges - Lincoln Trail College,434306,217153
00320600,Multnomah University,433018,216509
01302200,City University Of Seattle,432868,216434
03409500,Chester Career College,431590,215795
02341700,Career Academy Of Hair Design,429737,214869
04238600,Gould'S Academy,429649,214825
03409600,Bennett Career Institute,429212,214606
02301400,Ohio Valley College Of Technology,428200,214100
03970400,Wellspring School Of Allied Health,428142,214071
03590400,Ntma Training Centers Of Southern California,427969,213985
02195500,Modern Hairstyling Institute,426601,213301
04145700,Paul Mitchell The School Springfield,426043,213022
00560700,Suncoast Technical College,425821,212911
03570500,Northpoint Bible College,423110,211555
01014700,Western Suffolk Boces,422592,211296
00460000,Northwest Iowa Community College,422535,211268
00407100,Walsh College Of Accountancy & Business Administration,422403,211202
00185500,Des Moines University - Osteopathic Medical Center,422290,211145
03612400,Valley Grande Institute For Academic Studies,422034,211017
03101900,Trinity Baptist College,421907,210954
01203100,San Diego Christian College,421905,210953
04155200,Oliver Finley Academy Of Cosmetology,420835,210418
03104300,Career Technical Institute,420528,210264
00392900,Eastern Wyoming College,420524,210262
02203300,Gene Juarez Beauty Schools,420399,210200
00520400,Beal College,419913,209957
02354200,Scioto County Career Technical Center,419892,209946
00642100,Jfk Medical Center Muhlenberg Harold B. And Dorothy A. Snyder Schools,417854,208927
02170200,Albany Schoharie Schenectady Saratoga Boces Practical Nursing Program,416996,208498
00190100,Allen County Community College,416499,208250
00265600,New Mexico Military Institute,415633,207817
02577000,Paul Mitchell The School - Esani,415434,207717
04204500,Elaine Sterling Institute(The),414178,207089
04124500,Mycomputercareer.Com /Techskills,414059,207030
00536300,Denmark Technical College,412522,206261
04217800,Boca Beauty Academy,412160,206080
03014900,Platt College,412152,206076
04175300,Penrose Academy,412035,206018
02115400,Bridgerland Technical College,411631,205816
01032600,Tennessee College Of Applied Technology - Harriman,411299,205650
10257900,New England College,411295,205648
00998100,Morgan Community College,411258,205629
02317200,Maranatha Baptist University,410308,205154
00247400,Kansas City University Of Medicine And Biosciences,409399,204700
01205100,Pro Way Hair School,408553,204277
01111300,Maharishi International University,408145,204073
00295600,Piedmont International University,407862,203931
03018500,Bene'S Career Academy,406818,203409
00381900,Ohio Valley University,405760,202880
03373300,Beacon College,405430,202715
01262700,Thomas M. Cooley Law School,405235,202618
02180000,Northwest Indian College,403967,201984
03181400,Merkaz Bnos,403827,201914
00661200,Covenant School Of Nursing And Allied Health,403823,201912
02300900,Withlacoochee Technical College,403755,201878
04118300,Northcoast Medical Training Academy,402690,201345
04144500,Paul Mitchell The School Rexburg,401899,200950
03883400,Aviation Institute Of Maintenance,401732,200866
00122900,Southern California University Of Health Sciences,401546,200773
03176300,Aviation Institute Of Maintenance,400623,200312
02223700,Robert Fiance Beauty Schools,400511,200256
00996200,Luna Community College,399419,199710
00209200,St. John'S College,398355,199178
00121200,Humphreys University,398142,199071
00135900,Colorado Northwestern Community College,397997,198999
03411400,International Training Careers,397293,198647
04095300,King'S College (The),396742,198371
01150500,Tricoci University Of Beauty Culture,396317,198159
02140800,Martin University,395736,197868
02178500,Eagle Gate College,395657,197829
02237900,Tennessee College Of Applied Technology-Paris,394967,197484
03115900,Trinity College Of Puerto Rico,394678,197339
00783900,Triangle Tech,394320,197160
02591600,North-West College,393842,196921
03230300,Okaloosa Technical College And Choice High School,393330,196665
02521200,Arlington Career Institute,391614,195807
02068300,Douglas Education Center,391261,195631
04160700,Avenue Five Institute,391249,195625
02584900,First Institute,390859,195430
03611400,Florida Barber Academy,390387,195194
02121100,Midwest Institute,389911,194956
01232800,Northwestern Health Sciences University,388538,194269
00565500,Hacienda La Puente Adult Education,388304,194152
01167000,Yeshiva Of Nitra Rabbinical College,386639,193320
02143700,Sinte Gleska University,385959,192980
00338600,Valley Forge Military College,385652,192826
00224600,Cleary University,384753,192377
03225300,American University Of Health Sciences,384752,192376
00756000,River Valley Community College,384684,192342
00904700,Huntington Junior College Of Business,384451,192226
04173200,Taylor Andrews Academy Of Hair Design,383197,191599
00808700,Montgomery Community College,382976,191488
01082700,David Pressley Professional School Of Cosmetology,382850,191425
03696400,Saber College,382767,191384
00171600,Maccormac College,382008,191004
02218300,Southwest School Of Business & Technical Careers,381421,190711
02204200,"Chattanooga College - Medical, Dental And Technical Careers",381353,190677
02523700,Ocean County Vocational - Technical Schools,380824,190412
01206400,Hamilton Technical College,380408,190204
01151900,Joseph'S College Cosmetology,379798,189899
02528300,Tdds Technical Institute,379013,189507
03645400,"Rudy & Kelly Academy, A Paul Mitchell Partner School",378939,189470
00752600,Florida Panhandle Technical College,378062,189031
00209300,Saint John'S College,377298,188649
00252700,University Of Providence,376995,188498
01323200,Academy Of Hair Design,375960,187980
02209200,Taylortown School Of Beauty,375859,187930
02238100,Minnesota School Of Cosmetology,375857,187929
04133700,New York Medical Career Training Center,375729,187865
04151900,Columbia Gorge Community College,375638,187819
00155500,Thomas University,375530,187765
02063000,Montserrat College Of Art,375198,187599
02188200,Sitting Bull College,375048,187524
04133900,Futura Career Institute,374889,187445
00278400,New York Medical College,374257,187129
04147100,Tricoci University Of Beauty Culture,373874,186937
04142300,Aveda Arts & Sciences Institute Corpus Christi,373504,186752
04205200,Wade Gordon Hairdressing Academy,373069,186535
00106500,University Of Alaska Southeast,372939,186470
02277500,House Of Heavilin Beauty College,372084,186042
00550000,Manhattan Area Technical College,369841,184921
00533500,Central Pennsylvania Institute Of Science And Technology,369675,184838
00102300,Judson College,369009,184505
04170700,Paul Mitchell The School St Louis,368274,184137
00219400,New England Conservatory Of Music,367317,183659
00904300,Elmira Business Institute,367057,183529
03416500,Dallas Nursing Institute,366585,183293
02277400,South Coast College,366087,183044
01070000,Tennessee College Of Applied Technology-Jacksboro,365951,182976
00950900,Charles A. Jones Career And Education Center,365709,182855
02202300,Pittsburgh Career Institute,364095,182048
02056400,Capri Cosmetology Learning Center,363273,181637
02334300,Empire Beauty School,363192,181596
02153100,Paul Mitchell The School Murfreesboro,363105,181553
02146000,Wayne - Finger Lakes Boces,362846,181423
04187400,John Amico School Of Hair Design,362538,181269
03626300,Brown Aveda Institute,362519,181260
02316200,Miami Lakes Educational Center And Technical College,362478,181239
02189000,Mid-East Career And Technology Centers - Adult Education,362414,181207
03240300,Toni & Guy Hairdressing Academy,362087,181044
02616100,Jean Madeline Aveda Institute,361534,180767
02563000,Raphael'S School Of Beauty Culture,360731,180366
01320800,Baptist Bible College,360668,180334
01036500,Charles R. Drew University Of Medicine And Science,360477,180239
04266800,Caribbean Aviation Training Institute,360410,180205
02546200,Laurel Business Institute,360370,180185
02275500,Paul Mitchell The School Knoxville,358657,179329
03158300,Cape Coral Technical College,358183,179092
00376200,Virginia University Of Lynchburg,357917,178959
03914300,"Calc, Institute Of Technology",356366,178183
00154500,Andrew College,355871,177936
03079000,Eti Technical College Of Niles,355710,177855
04175200,Paul Mitchell The School East Bay,355653,177827
02552300,Colegio Mayor De Tecnologia,355224,177612
04138700,Paul Mitchell The School - Pasadena,354896,177448
02358000,Thomas Aquinas College,354873,177437
03120700,New York Conservatory For Dramatic Arts (The),354280,177140
04231900,Alamo City Barber College,354063,177032
01071700,Great Plains Technology Center School District Number 9,353682,176841
00861300,Roanoke Chowan Community College,353481,176741
03253300,Paul Mitchell The School Memphis,353187,176594
04137500,Tricoci University Of Beauty Culture,352709,176355
01215400,California Institute Of Integral Studies,352356,176178
04106300,Palm Beach Academy Of Health & Beauty,352289,176145
